,X1.1,X1.2,X1.3,TOTAL X1,X2.1,X2.2,X2.3,TOTAL X2,X3.1,X3.2,X3.3,TOTAL X3,X4.1,X4.2,X4.3,TOTAL X4,Y1,Y2,Y3,Y4,,
58.0,2,2,3,7,2,2,2,6,3,1,2,6,2,2,2,6,3,2,2,3,10.0,TINGGI
59.0,1,2,1,4,1,2,1,4,2,2,1,5,3,2,3,8,2,2,2,3,9.0,SEDANG
60.0,2,3,3,8,2,2,3,7,2,2,3,7,3,2,3,8,2,3,2,2,9.0,SEDANG
61.0,2,3,2,7,2,3,1,6,2,1,2,5,3,2,1,6,2,1,2,3,8.0,SEDANG
62.0,3,2,2,7,3,2,2,7,3,2,3,8,3,1,1,5,2,3,3,2,10.0,TINGGI
63.0,2,3,3,8,2,2,3,7,3,2,2,7,1,3,2,6,3,2,2,3,10.0,TINGGI
64.0,2,3,3,8,2,3,3,8,3,2,2,7,2,2,3,7,2,2,3,3,10.0,TINGGI
65.0,1,1,1,3,1,1,1,3,3,3,3,9,3,2,2,7,1,1,1,2,5.0,RENDAH
66.0,3,2,2,7,3,3,2,8,1,2,2,5,1,2,3,6,3,2,2,3,10.0,TINGGI
67.0,3,2,2,7,3,3,2,8,2,2,2,6,2,3,3,8,2,2,3,3,10.0,TINGGI
68.0,1,2,1,4,1,1,2,4,3,3,2,8,3,1,1,5,1,1,2,1,5.0,RENDAH
69.0,2,2,3,7,2,2,2,6,3,3,3,9,2,1,3,6,2,1,1,1,5.0,RENDAH
70.0,2,2,2,6,1,2,1,4,3,3,3,9,3,2,3,8,2,3,2,1,8.0,SEDANG
71.0,1,1,1,3,1,2,1,4,3,3,3,9,1,1,1,3,2,1,2,1,6.0,RENDAH
72.0,2,2,3,7,2,3,2,7,3,3,3,9,1,3,2,6,3,1,2,1,7.0,SEDANG
73.0,1,1,1,3,1,1,1,3,3,3,3,9,3,1,1,5,2,1,1,1,5.0,RENDAH
74.0,2,2,2,6,1,2,2,5,3,2,3,8,2,2,3,7,2,1,2,1,6.0,RENDAH
75.0,2,2,3,7,2,2,1,5,3,3,3,9,3,1,1,5,3,2,1,2,8.0,SEDANG
76.0,3,3,3,9,2,3,2,7,2,3,3,8,3,3,2,8,3,2,3,2,10.0,TINGGI
77.0,1,1,2,4,1,2,1,4,3,3,2,8,1,1,1,3,2,1,2,1,6.0,RENDAH
78.0,3,3,2,8,3,3,3,9,2,3,3,8,3,2,3,8,3,2,2,3,10.0,TINGGI
79.0,1,2,1,4,1,2,1,4,1,1,2,4,3,1,2,6,1,1,2,1,5.0,RENDAH
80.0,2,2,3,7,2,3,2,7,3,2,3,8,2,2,3,7,2,3,3,2,10.0,TINGGI
81.0,3,3,3,9,3,2,3,8,1,1,2,4,3,3,2,8,3,2,3,3,11.0,TINGGI
82.0,3,2,3,8,3,3,2,8,2,3,2,7,3,2,3,8,2,3,2,3,10.0,TINGGI
83.0,2,2,3,7,2,3,3,8,2,3,2,7,3,2,2,7,3,2,3,3,11.0,TINGGI
84.0,3,3,3,9,3,2,3,8,2,3,3,8,1,3,2,6,3,3,2,3,11.0,TINGGI
85.0,3,3,2,8,3,3,2,8,1,3,2,6,3,3,2,8,3,2,3,3,11.0,TINGGI
86.0,3,3,2,8,3,3,2,8,3,3,2,8,3,2,3,8,3,2,3,2,10.0,TINGGI
87.0,2,2,3,7,3,2,3,8,1,3,2,6,3,3,2,8,3,3,2,3,11.0,TINGGI
88.0,3,3,2,8,3,3,3,9,2,1,2,5,3,3,2,8,3,2,3,3,11.0,TINGGI
89.0,3,3,3,9,3,3,2,8,1,3,1,5,3,2,3,8,2,3,2,3,10.0,TINGGI
90.0,2,2,3,7,1,2,2,5,3,2,3,8,2,2,3,7,2,3,2,2,9.0,SEDANG
91.0,2,1,2,5,1,1,1,3,1,1,3,5,3,1,2,6,1,2,2,1,6.0,RENDAH
92.0,2,2,2,6,2,1,2,5,3,2,2,7,1,2,1,4,2,2,1,2,7.0,SEDANG
93.0,1,2,3,6,2,1,3,6,1,2,2,5,3,2,2,7,3,3,2,2,10.0,TINGGI
94.0,1,2,1,4,1,2,2,5,1,2,2,5,1,1,3,5,2,1,2,2,7.0,SEDANG
95.0,2,2,3,7,2,3,3,8,2,1,3,6,2,3,1,6,2,2,3,2,9.0,RENDAH
96.0,3,2,2,7,3,2,3,8,2,3,2,7,2,3,2,7,3,2,3,2,10.0,TINGGI
97.0,2,1,2,5,1,2,1,4,3,3,2,8,3,1,3,7,2,1,2,1,6.0,RENDAH
98.0,2,3,2,7,2,3,2,7,1,2,3,6,3,3,2,8,3,2,2,3,10.0,TINGGI
99.0,3,2,2,7,3,3,1,7,3,2,1,6,2,2,3,7,2,3,3,2,10.0,TINGGI
100.0,2,2,2,6,2,2,2,6,3,3,3,9,2,2,3,7,3,2,3,3,11.0,TINGGI
101.0,3,2,3,8,3,3,3,9,2,1,1,4,1,3,2,6,3,3,3,3,12.0,TINGGI
102.0,1,1,1,3,1,2,1,4,3,3,3,9,3,2,1,6,1,1,1,2,5.0,RENDAH
103.0,2,2,3,7,2,3,2,7,2,2,2,6,1,3,3,7,3,2,3,3,11.0,TINGGI
104.0,3,2,3,8,3,3,3,9,1,1,1,3,1,2,3,6,3,3,3,2,11.0,TINGGI
105.0,1,1,2,4,1,2,2,5,3,3,3,9,2,2,1,5,2,1,1,1,5.0,RENDAH
106.0,3,3,3,9,3,3,3,9,2,2,2,6,3,3,1,7,3,3,2,3,11.0,TINGGI
107.0,2,2,2,6,2,2,2,6,3,3,2,8,3,1,1,5,2,1,2,1,6.0,RENDAH
108.0,3,3,3,9,3,2,2,7,1,1,3,5,2,3,3,8,2,3,3,3,11.0,TINGGI
109.0,3,2,3,8,3,3,2,8,1,1,1,3,2,3,3,8,3,3,2,3,11.0,TINGGI
110.0,2,1,3,6,1,2,2,5,3,2,1,6,1,2,3,6,2,2,2,2,8.0,SEDANG
111.0,2,1,2,5,2,2,1,5,2,1,1,4,3,2,3,8,2,3,3,2,10.0,TINGGI
112.0,2,2,2,6,2,2,2,6,3,1,1,5,2,2,3,7,2,3,2,2,9.0,SEDANG
113.0,1,1,2,4,1,2,1,4,3,2,2,7,1,1,1,3,2,2,1,1,6.0,RENDAH
114.0,2,2,3,7,2,3,2,7,2,2,2,6,2,2,3,7,3,3,2,2,10.0,TINGGI
115.0,1,2,1,4,1,1,2,4,3,1,1,5,3,1,1,5,1,2,2,1,6.0,RENDAH
116.0,3,2,3,8,3,3,2,8,2,1,1,4,2,2,3,7,3,2,2,3,10.0,TINGGI
117.0,3,2,3,8,2,3,2,7,3,2,3,8,2,2,3,7,3,3,2,2,10.0,TINGGI
118.0,1,1,2,4,1,2,1,4,3,3,3,9,3,1,1,5,1,2,2,1,6.0,RENDAH
119.0,3,2,3,8,2,3,2,7,3,1,1,5,1,1,1,3,3,3,2,1,9.0,SEDANG
120.0,1,2,2,5,1,2,1,4,3,1,1,5,1,3,2,6,2,2,2,1,7.0,SEDANG
121.0,1,1,2,4,1,2,1,4,3,1,1,5,3,1,2,6,2,2,1,1,6.0,RENDAH
122.0,2,2,2,6,2,2,2,6,2,3,2,7,2,2,3,7,3,3,2,2,10.0,TINGGI
123.0,1,2,2,5,1,2,2,5,2,2,3,7,2,2,2,6,2,2,3,2,9.0,SEDANG
124.0,2,1,3,6,1,3,2,6,3,3,2,8,2,2,3,7,2,2,2,2,8.0,SEDANG
125.0,1,1,2,4,1,2,2,5,3,1,1,5,2,2,3,7,2,2,2,1,7.0,SEDANG
126.0,1,1,2,4,1,2,1,4,3,1,1,5,1,2,3,6,2,2,2,1,7.0,SEDANG
127.0,2,2,3,7,1,3,2,6,2,1,1,4,1,2,3,6,2,2,2,2,8.0,SEDANG
128.0,1,1,2,4,1,1,2,4,3,3,2,8,3,1,2,6,1,2,1,1,5.0,RENDAH
129.0,1,1,2,4,1,3,1,5,3,3,3,9,3,2,2,7,2,3,2,1,8.0,SEDANG
130.0,2,2,3,7,2,2,2,6,3,1,1,5,1,2,3,6,2,2,3,1,8.0,SEDANG
131.0,1,2,2,5,1,2,2,5,2,3,2,7,3,2,3,8,3,2,3,1,9.0,SEDANG
132.0,2,2,2,6,1,2,2,5,2,1,1,4,3,2,2,7,1,2,2,1,6.0,RENDAH
133.0,2,1,2,5,2,2,2,6,2,3,3,8,2,2,3,7,2,3,2,2,9.0,SEDANG
134.0,2,1,2,5,2,3,2,7,2,1,1,4,2,2,3,7,3,3,2,2,10.0,TINGGI
135.0,3,2,3,8,2,2,2,6,2,2,2,6,3,1,3,7,3,2,3,2,10.0,TINGGI
136.0,3,2,2,7,2,3,2,7,3,1,1,5,2,2,3,7,2,3,2,2,9.0,SEDANG
137.0,2,1,1,4,1,2,1,4,3,1,1,5,1,2,3,6,1,2,1,1,5.0,RENDAH
138.0,3,3,2,8,3,3,2,8,1,2,3,6,1,3,2,6,3,2,3,3,11.0,TINGGI
139.0,3,2,3,8,2,2,2,6,2,2,2,6,1,2,2,5,2,3,2,1,8.0,SEDANG
140.0,2,2,3,7,2,2,2,6,2,1,1,4,2,2,3,7,3,2,2,2,9.0,SEDANG
141.0,1,1,2,4,2,1,1,4,3,3,3,9,3,2,3,8,1,2,1,1,5.0,RENDAH
142.0,2,2,1,5,1,2,2,5,3,2,2,7,3,1,1,5,2,1,2,1,6.0,RENDAH
143.0,3,2,3,8,2,3,2,7,2,1,1,4,1,2,3,6,3,2,3,2,10.0,TINGGI
144.0,2,2,3,7,2,3,2,7,2,1,1,4,1,2,3,6,3,2,2,1,8.0,SEDANG
145.0,1,1,1,3,1,1,1,3,3,3,3,9,3,1,1,5,1,1,1,1,4.0,RENDAH
146.0,1,1,2,4,1,2,2,5,3,3,2,8,3,1,1,5,2,2,2,2,8.0,SEDANG
147.0,3,3,2,8,3,3,2,8,1,1,1,3,2,2,3,7,2,3,3,2,10.0,TINGGI
148.0,3,2,2,7,3,2,1,6,2,2,2,6,1,3,2,6,2,3,2,2,9.0,SEDANG
149.0,2,2,2,6,1,3,2,6,3,2,3,8,1,2,2,5,2,3,2,1,8.0,SEDANG
150.0,3,2,3,8,3,2,2,7,1,1,1,3,1,2,3,6,3,2,3,2,10.0,TINGGI
