No_Responden,X1.1,X1.2,X1.3,TOTAL X1,X2.1,X2.2,X2.3,TOTAL X2,X3.1,X3.2,X3.3,TOTAL X3,X4.1,X4.2,X4.3,TOTAL X4,Y1,Y2,Y3,Y4,SKOR_TOTAL_Y,LABEL,Skor_X1,Skor_X2,Skor_X3,Skor_X4,Total_Y
48.0,1,1,2,4,1,2,2,5,3,2,2,7,1,2,1,4,3,2,2,1,8.0,SEDANG,4,5,7,4,8
49.0,2,2,3,7,2,2,3,7,2,2,3,7,2,3,3,8,2,3,3,2,10.0,TINGGI,7,7,7,8,10
50.0,3,2,3,8,2,3,3,8,2,3,3,8,3,2,3,8,3,3,2,3,11.0,TINGGI,8,8,8,8,11
51.0,2,2,3,7,3,2,3,8,3,3,2,8,2,3,3,8,2,3,3,2,10.0,TINGGI,7,8,8,8,10
52.0,1,1,3,5,1,2,1,4,1,1,2,4,1,1,2,4,2,1,1,2,6.0,RENDAH,5,4,4,4,6
53.0,3,3,2,8,3,2,3,8,3,3,2,8,3,2,2,7,3,2,3,3,11.0,TINGGI,8,8,8,7,11
54.0,3,3,3,9,2,3,2,7,3,3,2,8,3,2,3,8,2,3,3,2,10.0,TINGGI,9,7,8,8,10
55.0,2,2,2,6,3,2,3,8,2,3,3,8,3,2,3,8,2,3,2,3,10.0,TINGGI,6,8,8,8,10
56.0,2,1,1,4,1,2,1,4,2,1,2,5,3,1,2,6,1,1,1,2,5.0,RENDAH,4,4,5,6,5
57.0,3,3,2,8,3,2,3,8,1,2,3,6,3,2,3,8,2,3,3,2,10.0,TINGGI,8,8,6,8,10
58.0,2,2,3,7,2,2,2,6,3,1,2,6,2,2,2,6,3,2,2,3,10.0,TINGGI,7,6,6,6,10
59.0,1,2,1,4,1,2,1,4,2,2,1,5,3,2,3,8,2,2,2,3,9.0,SEDANG,4,4,5,8,9
60.0,2,3,3,8,2,2,3,7,2,2,3,7,3,2,3,8,2,3,2,2,9.0,SEDANG,8,7,7,8,9
61.0,2,3,2,7,2,3,1,6,2,1,2,5,3,2,1,6,2,1,2,3,8.0,SEDANG,7,6,5,6,8
62.0,3,2,2,7,3,2,2,7,3,2,3,8,3,1,1,5,2,3,3,2,10.0,TINGGI,7,7,8,5,10
63.0,2,3,3,8,2,2,3,7,3,2,2,7,1,3,2,6,3,2,2,3,10.0,TINGGI,8,7,7,6,10
64.0,2,3,3,8,2,3,3,8,3,2,2,7,2,2,3,7,2,2,3,3,10.0,TINGGI,8,8,7,7,10
65.0,1,1,1,3,1,1,1,3,3,3,3,9,3,2,2,7,1,1,1,2,5.0,RENDAH,3,3,9,7,5
66.0,3,2,2,7,3,3,2,8,1,2,2,5,1,2,3,6,3,2,2,3,10.0,TINGGI,7,8,5,6,10
67.0,3,2,2,7,3,3,2,8,2,2,2,6,2,3,3,8,2,2,3,3,10.0,TINGGI,7,8,6,8,10
68.0,1,2,1,4,1,1,2,4,3,3,2,8,3,1,1,5,1,1,2,1,5.0,RENDAH,4,4,8,5,5
69.0,2,2,3,7,2,2,2,6,3,3,3,9,2,1,3,6,2,1,1,1,5.0,RENDAH,7,6,9,6,5
70.0,2,2,2,6,1,2,1,4,3,3,3,9,3,2,3,8,2,3,2,1,8.0,SEDANG,6,4,9,8,8
71.0,1,1,1,3,1,2,1,4,3,3,3,9,1,1,1,3,2,1,2,1,6.0,RENDAH,3,4,9,3,6
72.0,2,2,3,7,2,3,2,7,3,3,3,9,1,3,2,6,3,1,2,1,7.0,SEDANG,7,7,9,6,7
73.0,1,1,1,3,1,1,1,3,3,3,3,9,3,1,1,5,2,1,1,1,5.0,RENDAH,3,3,9,5,5
74.0,2,2,2,6,1,2,2,5,3,2,3,8,2,2,3,7,2,1,2,1,6.0,RENDAH,6,5,8,7,6
